순위,채널명,카테고리,구독자수,조회수,비디오수
100,떵개떵,음식/요리/레시피,4950000,3063620000,5037
101,매일맛나 delicious day,미분류,4940000,526530000,368
102,CoCosToy 꼬꼬스토이,키즈/어린이,4880000,3179560000,747
104,SBS TV동물농장x애니멀봐,애완/반려동물,4870000,4762930000,4530
103,Cooking tree 쿠킹트리,음식/요리/레시피,4870000,515020000,1647
105,ToyMart TV,키즈/어린이,4850000,1999170000,763
106,까니짱 [ G-NI : 蟹ちゃん],음식/요리/레시피,4810000,1455340000,830
107,JTBC Drama,TV/방송,4800000,5418170000,29138
108,STUDIO CHOOM [스튜디오 춤],음악/댄스/가수,4770000,2749900000,1775
109,행복지수 103%,미분류,4720000,56210000,17
110,딩고 뮤직 / dingo music,TV/방송,4660000,2078590000,2128
112,소맥거핀,게임,4540000,1842130000,331
111,JaeYeol ASMR 재열,취미/라이프,4540000,1421930000,1308
113,tvN D ENT,TV/방송,4510000,9969460000,30644
114,채널 NCT DAILY,TV/방송,4470000,862300000,467
115,Walt Disney Studios,미분류,4460000,1969040000,1468
116,Raon,음악/댄스/가수,4450000,1172730000,451
118,ZOEY ASMR 조이,음식/요리/레시피,4380000,1197040000,898
117,하루한끼 one meal a day,음식/요리/레시피,4380000,477640000,225
119,슈슈토이 ShushuToysReview,키즈/어린이,4320000,1428290000,495
120,Juventus,미분류,4230000,996670000,4429
121,ARTBEAT,BJ/인물/연예인,4200000,1538840000,3109
122,키즈팡TV,키즈/어린이,4170000,2515970000,2239
124,[Dorothy]도로시,음식/요리/레시피,4150000,1052270000,964
123,허팝Heopop,BJ/인물/연예인,4150000,3932510000,2216
125,로미유 스토리 Romiyu Story,키즈/어린이,4130000,380230000,260
126,YTN,뉴스/정치/사회,4110000,11761540000,707229
127,WINNER,음악/댄스/가수,4070000,1495570000,631
128,English Singsing,키즈/어린이,4040000,893130000,1368
130,옐언니,TV/방송,3970000,2839850000,874
129,워크맨-Workman,TV/방송,3970000,1142360000,373
132,KBS Drama,TV/방송,3940000,5440400000,133666
131,TV-People,TV/방송,3940000,4823920000,21128
133,제이제이 튜브 [JJ Tube],키즈/어린이,3930000,2583700000,515
134,tvN,TV/방송,3920000,6630030000,85730
135,푸드킹덤 Food Kingdom,음식/요리/레시피,3890000,1855160000,1193
136,LE SSERAFIM,미분류,3880000,1674820000,637
137,Jessi,음악/댄스/가수,3850000,901170000,60
138,JTBC Voyage,TV/방송,3820000,5177150000,12283
141,유니가치 YuniGachi,키즈/어린이,3800000,78850000,80
140,Lime Tube[라임튜브],키즈/어린이,3800000,2902980000,2280
139,크림히어로즈,애완/반려동물,3800000,1676140000,1095
142,EVANS,키즈/어린이,3780000,40000,10
146,Like Nastya Collections,키즈/어린이,3760000,1079000000,554
145,SBS 뉴스,뉴스/정치/사회,3760000,8363430000,191802
144,MBCNEWS,뉴스/정치/사회,3760000,12750560000,205317
143,헤이지니 Hey Jini,키즈/어린이,3760000,2887260000,1628
147,Billboard,회사/오피셜,3740000,1449330000,9584
148,drawholic,취미/라이프,3730000,505570000,402
149,waveya 2011,BJ/인물/연예인,3720000,1407050000,820
150,백현 Baekhyun,음악/댄스/가수,3680000,49690000,18
152,Chihun ASMR 치훈,음식/요리/레시피,3670000,832220000,751
151,KARD,음악/댄스/가수,3670000,792190000,487
